List,TestOrder,TrialID,Type,Verb,TargetAnimal,TargetInstrument,DistractorAnimal,DistractorInstrument,ta,ti,da,di,soundID
2,51,f16,filler,put,panda,towel,leopard,lollipop,panda_towel,towel,leopard_lollipop,lollipop,116
2,52,1,Inst,strike,bear,necklace,dolphin,sponge,bear_necklace,necklace,dolphin_sponge,sponge,92
2,53,47,mod,cuddle,dolphin,pen,duckling,lollipop,dolphin_pen,pen,duckling_lollipop,lollipop,87
2,54,31,Equi,locate,penguin,tube,dog,flower,penguin_tube,tube,dog_flower,flower,25
2,55,28,Equi,feed,duckling,book,butterfly,crayon,duckling_book,book,butterfly_crayon,crayon,36
2,56,45,Inst,whack,cow,pencil,bear,fork,cow_pencil,pencil,bear_fork,fork,16
2,57,7,mod,choose,cow,pen,panda,feather,cow_pen,pen,panda_feather,feather,13
2,58,23,Inst,poke,pig,violin,cow,feather,pig_violin,violin,cow_feather,feather,67
2,59,18,Inst,smack,leopard,hat,zebra,stick,leopard_hat,hat,zebra_stick,stick,43
2,60,48,mod,find,lion,mitten,bunny,sponge,lion_mitten,mitten,bunny_sponge,sponge,78
2,61,f23,filler,make,zebra,leaf,penguin,train,zebra_leaf,leaf,penguin_train,train,124
2,62,f21,filler,fly,turtle,flower,bird,toy,turtle_flower,flower,bird_toy,toy,122
2,63,20,Inst,hit,mouse,cup,bunny,hat,mouse_cup,cup,bunny_hat,hat,42
2,64,f18,filler,take,pig,straw,ladybug,net,pig_straw,straw,ladybug_net,net,118
2,65,51,mod,pet,lion,sponge,cow,fan,lion_sponge,sponge,cow_fan,fan,2
2,66,f6,filler,make,cow,flute,bear,stick,cow_flute,flute,bear_stick,stick,129
2,67,12,Inst,bop,elephant,napkin,turtle,leaf,elephant_napkin,napkin,turtle_leaf,leaf,50
2,68,24,mod,select,squirrel,partyhat,hippo,book,squirrel_partyhat,partyhat,hippo_book,book,35
2,69,f15,filler,give,lion,fan,panda,napkin,lion_fan,fan,panda_napkin,napkin,115
2,70,25,Inst,clean,turtle,violin,leopard,candle,turtle_violin,violin,leopard_candle,candle,12
2,71,53,mod,select,zebra,towel,chicken,leaf,zebra_towel,towel,chicken_leaf,leaf,30
2,72,36,Equi,spot,bird,straw,camel,tube,bird_straw,straw,camel_tube,tube,106
2,73,21,Equi,pinch,panda,hat,pig,flower,panda_hat,hat,pig_flower,flower,99
2,74,46,mod,choose,squirrel,barrette,dolphin,sponge,squirrel_barrette,barrette,dolphin_sponge,sponge,14
2,75,f1,filler,put,bear,fork,dolphin,microphone,bear_fork,fork,dolphin_microphone,microphone,109
2,76,33,Equi,pinch,leopard,toothbrush,butterfly,towel,leopard_toothbrush,toothbrush,butterfly_towel,towel,3
2,77,14,mod,hug,giraffe,partyhat,squirrel,sponge,giraffe_partyhat,partyhat,squirrel_sponge,sponge,93
2,78,f19,filler,make,squirrel,sponge,hippo,chopsticks,squirrel_sponge,sponge,hippo_chopsticks,chopsticks,119
2,79,4,Inst,rub,butterfly,violin,bunny,pencil,butterfly_violin,violin,bunny_pencil,pencil,24
2,80,3,mod,squeeze,bunny,microphone,pig,spoon,bunny_microphone,microphone,pig_spoon,spoon,56
2,81,26,mod,cuddle,whale,microphone,turtle,flower,whale_microphone,microphone,turtle_flower,flower,84
